HASIL STEMMING,Sentimen
misal ikn,Neutral
buru pindah ikn gih,Neutral
rempang pik bsd ikn tinggal kenang,Negative
ikn kabar,Neutral
ntar pas landing ikn diputerin lagu nct walk,Positive
berita lengkap mpr otorita ikn paku kaltim kalimantan,Neutral
kenapa nggak buka ikn sekali,Neutral
apase beda polisi apa beda lembaga hukum apa they just doing random pdhl sdh ada lembaga job desc kayak woi wapres lu mah mending mikir ikn noh diapain ngapain malah bikin proker kayak lpj an,Negative
miris mah emis nama tentu ada syarat minta tiongkok rempang pik bsd ikn balik deal deal paradox rezimmaling dinastimalingjokowi gibranbencananasional,Negative
baik ikn pakai wahana ttd transportasi tenaga waris leluhur nan adiluhung hemat energi bebas polusi,Positive
cuu boneka cheetah lee w ilang pas ikn anjj kutuk,Negative
emang bener ya kalo ikn banyak tka china tetangga gue kerja proyek gitu bln kmrn abis tugas ikn info si visa visa wisata,Neutral
stop ikn thenif you dare,Negative
president prabowo subianto s stance on indonesia s new capital project nusantara ikn has sparked curiosity with prabowo pushing major initiatives like free nutritious meals and largescale food estates,Positive
apakah jokowi peduli revolusi mentalnyayg dia peduliin ikn ga usut magkrak,Negative
us ngasih dana ikn situ bikin headquarter nah kalo parkir natuna mantep tuh wamil,Neutral
hahaha kpk ngga dianggep kalimantan banyak rajaraja kecil banyak bete ikn bangun takut mudah pantau pusat,Neutral
otorita ibu kota nusantara oikn upaya komersialisasi taksi terbang sky taxi mobilitas cerdas udara ikn tahun datang n taksiterbang ikn,Neutral
presiden prabowo subianto ingin ikn jadi pusat perintah paling lambat datang ikn,Neutral
kondisi kini rute segmen b bandara nusantara ikn youtube,Neutral
sukses bangun ikn ikn,Neutral
pilkada kaltim damai satu suara ubah wujud pilkada aman damai polri divhumas poldakaltim coolingsystem ikn ibukotanusantara mahakam,Neutral
ayo gapapa deh ikn dulu biar beli rumah,Neutral
dengar dapat orang kalimantan tentang ikn,Neutral
nasib teliti makin tentu brin kait model homebase niruniru ikn yaa tandatanda puruk riset makin tuju dasar brinwatch,Negative
kalo gitu betul rencana pindah ikn telolet,Positive
jangan banyak umbar janji ikn mangkrak tetap operasi,Negative
ikn tetap lanjut pak,Neutral
ngemil makan khas ikn dulu,Neutral
ada bicara investasi ikn,Negative
thanksgiving ikn syukur atas jasajasa pak jkw terima kasih bapak,Positive
bikin takjubdelegasi sarawakmalaysia kunjung ikn buat terher youtube,Neutral
delegasi jepang kunjung jumlah proyek bangun ikn nusantara youtube,Neutral
anak bio hari goreng bangun ikn biodiversitas pantat langsung koreng saat pdb senggol saat kuliah tamu senggol,Negative
knp org org ps denger kalimantan tuh langsung nyebut ikn si,Neutral
txtfromir sama as indonesia menandatangani indopasific treaty organization ipto hqnya ikn base alau ada natuna aku pun bangun lalu siap kerja,Neutral
gedung tinggi asia tenggara bangun ikn nusantara youtube,Neutral
hellrmdn buat pondasi bedeng ikn,Neutral
kenapa jakarta ada demosuapaya lari ikn jokowi unggah momen ajak jan ethes la lembah jalanjalan naik mrt,Neutral
moga imajinasi ganti rugi masyarakat sekitar ikn beres,Neutral
fufufafa nang ikn,Neutral
ikn cuma proyek akhir masa jabat jokowi nanti ikn tmii tempat wisatamaka perlu periksa apakah ada upaya korupsi disanafoto benar ikn mangkrak saksi warga jakarta kunjung halaman,Negative
ikn kini update rs abdi waluyo training center pssi ikn youtube,Neutral
ikn nusantara,Neutral
ikn hari update kawasan plaza bhineka tunggal ika sampai pembangu youtube,Neutral
btw ikn kabar kapan aparat perintah pindah,Neutral
tolong buat patung megah buat coach hector ikn,Positive
ikn hadir pusat tumbuh ekonomi baru cipta iklim investasi buka transparan lanjut ikn jadi peluang emas bagi para investor kontribusi masa depan indonesia maju sejahtera ikn investasi pertumbuhanekonomi,Positive
ibu kota nusantara ikn kalimantan timur kaltim jangka waktu tahun datang iknnusantara pembangunanikn ibukotanegaranusantara kelanjutanikn,Neutral
mirispesawat presiden dimndijual ka disimpen iknknp judul begini ni,Neutral
bangun ikn ikn,Neutral
ikn rupa megaproyek selesai waktu tahun ibukotanegaranusantara ikn iknnusantara indonesiaemas smartcity kotamodern indonesia maju kotamasadepanpembangunanikn,Neutral
ariana whole discography was there and he picked that one song ikn ariana was mad asf,Negative
ngga ya kuliah lapang wanagama ikn,Neutral
mardanijgmw eh kemaren manggil pawang hujan ikn miliar,Neutral
proyeksi ikn makinnn maju nihh ibukotanegaranusantara ikn iknnusantara indonesiaemas smartcity kotamodern indonesia maju kotamasadepanpembangunanikn,Positive
jual murah semua gratis bonus pik psn ikn,Positive
proyek ikn ikn,Neutral
makanya bangun rumah tinggal ikn,Neutral
,Count
positive,72
negative,242
neutral,266
,580
